district,total,Europe: Total,Europe: United Kingdom,Europe: Not UK,EU Countries,Africa: Total,North Africa,Central and Western Africa,South and Eastern Africa,Middle East and Asia: Total,Middle East,Eastern Asia,Southern Asia,South-East Asia,Central Asia,The Americas and the Caribbean: Total,North America,Central America,South America,The Caribbean,Antarctica and Oceania: Total,Antarctica,Australasia,Other
,,,,,,,,,,,,,,,,,,,,,,,,
Darlington,105564,102914,100025,2595,2484,503,84,83,327,1686,196,303,854,325,8,330,204,14,36,76,131,0,129,0
County Durham,513242,504821,496579,7134,6603,1855,338,249,1243,4588,644,1462,1385,1067,30,1461,1114,39,192,116,517,1,500,0
Hartlepool,92028,90549,89469,929,869,336,46,56,229,949,92,174,427,254,2,112,80,6,12,14,82,0,75,0
Middlesbrough,138412,130113,127042,2608,2350,1867,466,533,856,6139,1126,677,3939,391,6,199,108,6,32,53,94,0,91,0
Northumberland,316028,311407,307103,3628,3333,1105,112,141,836,2282,243,364,975,697,3,851,590,14,140,107,382,0,369,1
Redcar and Cleveland,135177,133745,132158,1240,1113,364,46,39,275,740,97,125,306,202,10,200,144,6,26,24,127,0,125,1
Stockton-on-Tees,191610,185500,182769,2223,2018,1410,144,245,1000,4096,548,653,2206,681,8,428,268,21,75,64,176,0,165,0
Gateshead,200214,194490,190351,3699,3266,1378,147,390,828,3633,1222,762,1093,535,21,551,386,23,92,50,161,0,155,1
Newcastle upon Tyne,280177,252326,242598,8664,7472,5540,1109,2398,2011,20423,3378,4822,9343,2819,61,1445,924,71,298,152,443,0,416,0
North Tyneside,200801,196041,192855,2749,2395,1092,140,257,684,2905,377,597,1264,645,22,515,344,27,99,45,248,0,241,0
South Tyneside,148127,144667,143163,1298,1151,586,83,165,329,2528,548,201,1543,230,6,242,135,7,71,29,104,0,97,0
Sunderland,275506,267758,264201,3026,2783,1611,223,585,774,5533,657,1154,2524,1190,8,443,280,10,90,63,161,0,153,0
Blackburn with Darwen,147489,129562,125695,3232,2996,2329,143,188,1867,15134,908,338,13546,337,5,371,165,17,67,122,92,0,81,1
Blackpool,142065,138915,134362,3505,3339,680,144,126,392,1951,207,361,789,593,1,360,229,1,55,75,158,0,158,1
Cheshire East,370127,360771,349833,8897,8360,2148,203,356,1569,4895,656,821,2118,1288,12,1643,1018,27,282,316,670,0,643,0
Cheshire West and Chester,329608,322484,313621,6685,6180,1932,202,263,1441,3431,314,667,1446,989,15,1243,810,49,224,160,518,0,491,0
Halton,125746,124312,122361,1305,1204,332,35,53,238,726,74,176,276,197,3,243,170,8,16,49,132,0,121,1
Warrington,202228,196549,190719,4632,4369,1201,169,222,800,3509,372,541,1826,766,4,647,427,21,75,124,322,0,307,0
Allerdale,96422,95195,93845,1138,1061,307,29,24,245,551,51,112,200,182,6,245,175,9,31,30,124,0,123,0
Barrow-in-Furness,69087,67990,67073,697,629,222,37,28,155,598,53,143,172,227,3,189,134,6,37,12,88,0,88,0
Carlisle,107524,105381,102253,2787,2651,482,44,76,352,1175,76,308,524,263,4,351,260,10,53,28,135,0,131,0
Copeland,70603,69488,68577,722,673,225,24,37,161,589,40,147,218,183,1,200,152,1,23,24,101,0,99,0
Eden,52564,51773,50767,879,846,217,21,14,178,348,43,77,141,85,2,131,104,1,15,11,95,0,93,0
South Lakeland,103658,101322,98649,2326,2201,568,56,44,458,968,92,290,300,285,1,558,397,19,57,85,242,0,238,0
Bolton,276786,253069,245562,5931,5218,5497,269,1278,3733,17084,1861,824,13495,897,7,868,392,17,113,346,267,2,246,1
Bury,185060,175149,168945,4329,3898,1685,171,427,1064,7241,1331,645,4692,562,11,765,363,21,119,262,220,0,211,0
Manchester,503127,410618,376066,25516,22942,25815,3126,11494,11018,57358,9927,9820,32726,4687,198,8358,2019,365,1197,4777,977,1,905,1
Oldham,224897,203193,198396,3517,3199,1932,110,610,1147,18850,486,484,17306,573,1,778,241,12,71,454,144,0,132,0
Rochdale,211699,194495,188102,4484,4161,2654,166,1122,1316,13883,628,540,12069,643,3,497,239,15,82,161,170,0,146,0
Salford,233933,218682,206471,9612,8853,5477,494,2607,2345,8153,2332,1713,3020,1071,17,1270,619,54,369,228,351,0,337,0
Stockport,283275,271428,263914,4576,3974,2173,272,425,1436,8053,1735,1135,4268,901,14,1205,580,41,215,369,416,0,405,0
Tameside,219324,209536,204054,4030,3755,2284,128,514,1522,6785,247,610,5409,514,5,522,240,14,95,173,197,0,186,0
Trafford,226578,210899,201177,5977,5416,3131,638,627,1834,9628,1311,1487,6004,804,22,2449,712,44,241,1452,471,0,455,0
Wigan,317849,312246,306656,4341,3980,1865,252,478,1119,2870,647,547,1097,576,3,545,322,11,80,132,323,1,314,0
Burnley,87059,82135,80325,1284,1169,295,53,29,208,4331,113,159,3621,437,1,199,98,2,44,55,99,0,78,0
Chorley,107155,105165,103230,1444,1340,469,84,62,310,1021,89,144,578,207,3,368,192,4,51,121,132,0,131,0
Fylde,75757,74094,71982,1593,1505,376,59,45,269,794,114,142,308,225,5,321,207,33,37,44,172,0,126,0
Hyndburn,80734,76776,74942,1452,1384,290,30,15,238,3436,106,174,3033,122,1,157,104,3,20,30,75,0,75,0
Lancaster,138375,133627,128254,4598,4201,947,112,209,621,2840,233,1134,980,474,19,669,446,25,120,78,292,0,272,0
Pendle,89452,82373,79745,2219,2087,282,37,34,202,6550,112,159,6094,181,4,176,123,6,18,29,71,0,69,0
Preston,140202,127446,121470,4985,4734,1888,142,288,1383,9807,760,1019,7461,561,6,904,300,22,90,492,157,0,149,0
Ribble Valley,57132,56144,55079,802,743,234,17,46,170,519,42,99,268,109,1,148,109,10,19,10,87,0,87,0
Rossendale,67982,66101,64864,765,707,226,17,35,170,1445,33,137,1118,157,0,149,101,3,22,23,61,0,61,0
South Ribble,109057,107122,104961,1576,1498,526,46,41,427,1003,94,214,440,252,3,277,159,9,40,69,129,0,125,0
West Lancashire,110685,109162,106397,2244,2177,397,58,47,285,721,74,128,323,190,6,279,163,9,63,44,126,0,122,0
Wyre,107749,105985,104153,1301,1186,345,40,57,244,1025,72,275,355,318,5,265,187,6,43,29,128,0,124,1
Knowsley,145893,144128,142487,1070,915,428,50,163,214,985,103,208,431,243,0,275,143,9,53,70,77,0,76,0
Liverpool,466415,435790,420290,11844,10607,8886,1227,3374,4239,18747,5416,5810,5480,2012,29,2410,1104,136,506,664,581,0,548,1
Sefton,273790,269054,262234,4921,4549,1287,219,193,865,2254,306,606,829,506,7,879,461,43,236,139,316,0,310,0
St. Helens,175308,173038,170581,1716,1578,498,85,69,338,1326,126,274,606,320,0,306,215,10,44,37,140,0,136,0
Wirral,319783,313038,306853,4039,3684,1386,219,191,957,3861,323,982,1682,859,15,1062,687,29,190,156,436,0,416,0
East Riding of Yorkshire,334179,328520,321312,6323,5905,1332,178,180,956,2875,382,552,1163,759,19,982,594,31,239,118,470,0,458,0
"Kingston upon Hull, City of",256406,246383,234585,11329,10589,2851,382,1292,1163,6340,2065,1591,1744,919,21,572,295,30,122,125,260,0,236,0
North East Lincolnshire,159616,156422,152643,3392,3087,743,152,141,435,1978,350,406,833,381,8,328,211,5,66,46,144,0,124,1
North Lincolnshire,167446,163121,156487,5979,5763,759,64,122,560,3038,268,410,1915,436,9,406,218,15,120,53,122,1,117,0
York,198051,188144,179823,7357,6462,1811,192,404,1202,6024,554,2344,1969,1110,47,1525,1017,90,264,154,547,0,520,0
Craven,55409,54207,53111,906,851,263,18,22,219,615,32,120,283,180,0,187,155,2,12,18,137,0,131,0
Hambleton,89140,87438,85141,2001,1899,491,64,48,375,698,70,106,296,220,6,308,224,6,41,37,205,0,147,0
Harrogate,157869,150122,143989,5443,5023,1381,113,203,1058,2525,240,825,651,784,25,3350,3035,26,138,151,491,0,437,0
Richmondshire,51965,49587,47600,1783,1719,531,28,120,380,1263,52,141,878,185,7,257,159,10,20,68,327,0,98,0
Ryedale,51751,50791,49603,955,898,259,13,31,211,373,36,99,88,149,1,211,151,9,24,27,117,0,111,0
Scarborough,108793,106318,103493,2540,2344,530,85,91,345,1427,197,293,549,387,1,359,250,11,56,42,159,0,148,0
Selby,83449,82201,79930,1969,1867,445,24,94,322,463,30,127,128,175,3,215,141,8,30,36,125,0,121,0
Barnsley,231221,227860,223418,3913,3498,1240,104,269,843,1631,351,352,555,356,17,331,185,7,65,74,159,0,157,0
Doncaster,302402,294374,283733,9612,8780,1843,192,468,1150,5094,966,755,2719,650,4,826,320,17,83,406,265,0,254,0
Rotherham,257280,249184,244133,4379,4094,1880,222,448,1194,5693,906,384,3930,469,4,392,207,14,49,122,131,0,130,0
Sheffield,552698,504050,488176,13757,11969,12198,1543,3132,7465,31175,7017,6355,14839,2886,78,4510,1469,247,617,2177,765,0,753,0
Bradford,522452,452610,432843,17498,16384,7081,1140,1774,3992,59634,3691,1819,51540,2568,16,2609,763,54,234,1558,517,1,477,1
Calderdale,203826,194598,188590,4534,4170,1012,82,179,727,7412,329,347,6189,537,10,562,304,17,64,177,242,0,239,0
Kirklees,422458,387109,376821,8009,7212,4246,799,770,2603,27733,2089,1089,23514,1030,11,2878,617,51,142,2068,489,0,452,3
Leeds,751485,692562,665341,22153,20302,16837,1575,5272,9739,35030,6544,4282,20190,3958,56,5782,1891,150,723,3018,1274,0,1221,0
Wakefield,325837,317236,308270,8171,7831,2534,221,694,1592,5160,710,505,3102,830,13,614,286,16,138,174,290,0,280,3
Derby,248752,226426,214131,10461,9393,3832,315,837,2618,16050,1781,1047,12060,1154,8,2156,534,35,173,1414,288,2,251,0
Leicester,329839,238685,218996,17665,15927,31983,1060,2515,26817,55108,4247,3465,45290,2064,42,3545,827,73,336,2309,516,0,281,2
Nottingham,305680,264330,245951,16341,14789,10652,1396,3775,5404,24202,3316,4932,12681,3196,77,6001,1045,106,515,4335,495,0,479,0
Rutland,37369,36105,34972,919,846,379,27,80,268,414,38,137,126,111,2,327,208,7,50,62,144,0,115,0
Amber Valley,122309,120646,118664,1636,1513,472,47,44,372,721,53,145,272,245,6,339,243,11,28,57,131,0,127,0
Bolsover,75866,75001,73574,1250,1184,336,15,73,245,385,10,89,159,125,2,107,68,4,15,20,37,0,37,0
Chesterfield,103788,101647,99838,1456,1333,617,65,125,422,1131,84,248,556,238,5,310,130,14,34,132,83,0,81,0
Derbyshire Dales,71116,69959,68787,909,848,296,26,19,243,438,29,116,148,144,1,275,216,6,29,24,148,0,145,0
