district,total,Day-to-day activities limited a lot,Day-to-day activities limited a little,Day-to-day activities not limited,Day-to-day activities limited a lot: Age 16 to 64,Day-to-day activities limited a little: Age 16 to 64,Day-to-day activities not limited: Age 16 to 64,Very good health,Good health,Fair health,Bad health,Very bad health,Provides no unpaid care,Provides 1 to 19 hours unpaid care a week,Provides 20 to 49 hours unpaid care a week,Provides 50 or more hours unpaid care a week
,,,,,,,,,,,,,,,,
Darlington,105564,9821,10902,84841,4474,5195,57249,47046,37199,15116,4763,1440,94516,6863,1427,2758
County Durham,513242,62875,58411,391956,29292,29985,273636,217373,171564,82404,32568,9333,453187,34336,8826,16893
Hartlepool,92028,11137,10178,70713,5319,5336,47975,39816,30117,14607,5789,1699,82104,5325,1555,3044
Middlesbrough,138412,14959,13919,109534,7593,7498,74627,62855,45295,19719,8001,2542,124252,7516,2301,4343
Northumberland,316028,30940,34558,250530,13138,16047,169673,138990,108458,48580,15641,4359,280331,22304,4553,8840
Redcar and Cleveland,135177,15482,15235,104460,6788,7394,70577,57285,45844,21449,8184,2415,119143,9004,2450,4580
Stockton-on-Tees,191610,17677,18731,155202,8202,9614,106736,88811,64282,26385,9296,2836,171686,11683,2933,5308
Gateshead,200214,22917,21435,155862,10669,10831,107971,85320,67807,31158,12152,3777,177994,12588,3381,6251
Newcastle upon Tyne,280177,26661,25916,227600,12966,14012,166506,133933,89096,38018,14793,4337,254367,15248,3726,6836
North Tyneside,200801,20246,21159,159396,9091,10474,110228,90031,66955,30156,10638,3021,178593,13789,2941,5478
South Tyneside,148127,18166,16315,113646,8337,8323,78687,63345,48861,23700,9394,2827,131387,9351,2596,4793
Sunderland,275506,34206,30346,210954,16170,16201,148150,117365,90557,43951,18155,5478,242975,17821,5089,9621
Blackburn with Darwen,147489,15563,14278,117648,8415,8523,77123,66991,49010,20725,8428,2335,131733,8769,2691,4296
Blackpool,142065,19247,17084,105734,9278,9143,71039,56600,48022,23977,10346,3120,125746,8635,2592,5092
Cheshire East,370127,29206,35625,305296,11098,15896,206008,181595,123065,47306,14247,3914,330124,27525,4454,8024
Cheshire West and Chester,329608,29098,31897,268613,11961,14811,183601,159777,108967,42604,14259,4001,292487,23941,4723,8457
Halton,125746,14556,12309,98881,7370,6979,67989,58684,39693,17504,7732,2133,110728,8009,2440,4569
Warrington,202228,16940,18057,167231,7280,9112,114871,100734,66223,24446,8466,2359,180385,13862,2837,5144
Allerdale,96422,9718,10309,76395,3955,4707,51460,42887,33297,14210,4762,1266,85648,6632,1436,2706
Barrow-in-Furness,69087,8961,8062,52064,4202,4129,35510,29538,22865,10898,4542,1244,60842,4573,1308,2364
Carlisle,107524,9919,10704,86901,4459,5172,59514,48593,37494,15030,4964,1443,96219,7233,1418,2654
Copeland,70603,7537,7524,55542,3477,3631,38151,31329,23938,10516,3760,1060,62622,4695,1179,2107
Eden,52564,4098,5370,43096,1502,2225,28720,24210,18810,7195,1875,474,46602,4208,620,1134
South Lakeland,103658,8290,11229,84139,2797,4404,55455,48461,36385,14117,3701,994,91430,8586,1304,2338
Bolton,276786,27773,27140,221873,13476,14913,148781,125548,93765,39139,14465,3869,246137,18187,4525,7937
Bury,185060,16733,18088,150239,7877,9424,101094,87128,61634,25430,8539,2329,165106,12493,2746,4715
Manchester,503127,47353,42011,413763,27026,26741,304398,245334,159452,62651,27014,8676,460487,23109,7568,11963
Oldham,224897,22535,21791,180571,11046,11975,118464,101526,74987,32778,12179,3427,200575,14526,3651,6145
Rochdale,211699,22630,21729,167340,11836,12145,112119,94233,70158,31303,12453,3552,188439,13550,3605,6105
Salford,233933,25709,22708,185516,12902,12794,129878,107689,75685,32849,13741,3969,210531,13228,3725,6449
Stockport,283275,24487,27772,231016,10520,13345,154930,135500,94251,37601,12505,3418,251293,21091,3921,6970
Tameside,219324,23307,22624,173393,11628,12313,118474,96404,73918,33009,12492,3501,195265,14106,3594,6359
Trafford,226578,18165,20438,187975,8037,9890,126554,115496,71694,27549,9273,2566,203051,15653,2981,4893
Wigan,317849,34847,33474,249528,16528,17780,171868,144283,103934,46797,18112,4723,281345,21162,5484,9858
Burnley,87059,10090,9517,67452,5007,5203,45571,37372,29286,13682,5213,1506,77204,5861,1379,2615
Chorley,107155,9626,10112,87417,4228,5137,60205,51303,35705,14222,4623,1302,94837,7937,1652,2729
Fylde,75757,7849,8714,59194,2823,3554,39037,33815,25591,11619,3692,1040,66570,5907,1131,2149
Hyndburn,80734,9153,8400,63181,4470,4623,42190,34759,27610,12225,4800,1340,71811,5193,1220,2510
Lancaster,138375,12751,14176,111448,5286,6801,77953,64577,46831,18960,6215,1792,123760,9261,1819,3535
Pendle,89452,9280,9428,70744,4540,4959,47279,38965,30826,13431,4921,1309,79206,6432,1412,2402
Preston,140202,12605,12880,114717,6295,7297,80584,65276,47840,18585,6644,1857,126063,8490,2198,3451
Ribble Valley,57132,4076,5470,47586,1454,2253,31314,29415,18376,7049,1805,487,50591,4758,617,1166
Rossendale,67982,6818,6692,54472,3257,3611,37402,31438,22508,9603,3475,958,60348,4864,988,1782
South Ribble,109057,9227,10409,89421,3706,4970,61075,52009,37211,14240,4473,1124,96565,8169,1558,2765
West Lancashire,110685,11212,10926,88547,4697,5179,59961,52675,36226,14800,5380,1604,97259,8242,1812,3372
