district,total,Living in couple,Living in a couple: Married or in a registered same-sex civil partnership,Living in a couple: Cohabiting,Not living in couple,Not living in a couple: Single (never married or never registered a same-sex civil partnership),Not living in a couple: Married or in a registered same-sex civil partnership,Not living in a couple: Separated (but still legally married or still legally in a same-sex civil partnership),Not living in a couple: Divorced or formerly in a same-sex civil partnership which is now legally dissolved,Not living in a couple: Widowed or surviving partner from a same-sex civil partnership
,,,,,,,,,,
Darlington,83954,49614,38963,10651,34340,19424,730,1942,6564,5680
County Durham,412617,244235,195620,48615,168382,97195,3540,8597,29133,29917
Hartlepool,73296,41615,32334,9281,31681,18753,599,1494,5428,5407
Middlesbrough,108161,56375,43816,12559,51786,32968,1396,2469,7441,7512
Northumberland,256897,162592,133155,29437,94305,51272,2374,5305,16570,18784
Redcar and Cleveland,109763,64735,51528,13207,45028,25849,823,2130,7901,8325
Stockton-on-Tees,150859,90549,71209,19340,60310,36116,1436,3136,9964,9658
Gateshead,162253,92676,71136,21540,69577,41422,1581,3595,11270,11709
Newcastle upon Tyne,223319,105633,80388,25245,117686,82140,3115,4709,14168,13554
North Tyneside,163435,95366,75058,20308,68069,38774,1387,3824,12220,11864
South Tyneside,120807,64897,51904,12993,55910,32293,1223,2927,9741,9726
Sunderland,223722,126019,99934,26085,97703,59521,1831,4554,15337,16460
Blackburn with Darwen,111628,63490,51277,12213,48138,29039,2060,2831,7516,6692
Blackpool,112758,58738,43184,15554,54020,29900,1102,2921,11160,8937
Cheshire East,299338,189231,154967,34264,110107,61977,2738,5267,19571,20554
Cheshire West and Chester,268208,163364,132646,30718,104844,61625,2292,4478,17952,18497
Halton,99953,56905,44282,12623,43048,26260,781,2036,7301,6670
Warrington,160091,99168,79402,19766,60923,35935,1306,2996,10694,9992
Allerdale,78768,48903,40486,8417,29865,16614,721,1256,5136,6138
Barrow-in-Furness,56110,32639,25880,6759,23471,13152,487,1059,4521,4252
Carlisle,87721,51537,41088,10449,36184,21006,787,1823,6114,6454
Copeland,57344,35394,28906,6488,21950,12539,651,868,3771,4121
Eden,43075,27834,23300,4534,15241,8536,427,600,2528,3150
South Lakeland,85158,54948,45712,9236,30210,15771,995,1184,5453,6807
Bolton,217886,124836,98802,26034,93050,55177,2763,5099,15566,14445
Bury,145999,85944,68245,17699,60055,35525,1471,3499,10162,9398
Manchester,383791,160050,109251,50799,223741,161923,8879,10981,23152,18806
Oldham,172735,97649,77152,20497,75086,43934,3168,4676,11377,11931
Rochdale,164801,91666,70851,20815,73135,43528,2371,4618,11739,10879
Salford,183248,93030,67041,25989,90218,57874,2479,4883,13037,11945
Stockport,227535,134268,108439,25829,93267,55018,2093,4638,15591,15927
Tameside,175048,98967,74680,24287,76081,44846,1713,4222,13326,11974
Trafford,179464,105614,85188,20426,73850,44846,2331,3508,11493,11672
Wigan,255780,153906,119464,34442,101874,60198,2011,5207,17863,16595
Burnley,68995,38915,30096,8819,30080,17289,952,1769,5348,4722
Chorley,84670,53760,42962,10798,30910,17676,620,1648,5713,5253
Fylde,62064,37572,31676,5896,24492,12705,558,1247,4690,5292
