district,total,English only identity,English and British only identity,Other English combined background identity,No English identity,Welsh only identity,Welsh and British only identity,Other Welsh combined background identity,No Welsh identity,Scottish only identity,Scottish and British only identity,Other Scottish combined background identity,No Scottish identity,British only identity,British and any other identity,No British identity,Cornish only identity,Cornish and British only identity,Cornish and at least one of English/Welsh/Scottish/Northern Irish identities (with or without British),No Cornish identity,Irish only identity,Irish and British only identity,Irish and Northern Irish only identity,"Irish, Northern Irish and British only identity",Irish and at least one of English/Welsh/Scottish identities (with or without British),"Irish, Northern Irish and at least one of English/Welsh/Scottish identities (with or without British)",No Irish identity,Other identities only,Other identities and at least one of English/Welsh/Scottish/Northern Irish/British only,At least one of English/Welsh/Scottish/Northern Irish/British identities only
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darlington,105564,73389,10798,372,21005,308,53,50,105153,1466,227,105,103766,15534,11384,78646,4,0,0,105560,222,10,2,0,14,0,105316,3064,335,102165
County Durham,513242,366060,56397,1441,89344,980,225,247,511790,4338,822,439,507643,72000,58769,382473,8,6,12,513216,727,40,13,4,68,5,512385,9562,1353,502327
Hartlepool,92028,69787,9511,168,12562,126,23,27,91852,621,96,46,91265,10272,9771,71985,1,0,0,92027,104,6,0,0,12,0,91906,1248,172,90608
Middlesbrough,138412,96117,13112,407,28776,172,43,42,138155,886,124,75,137327,20315,13760,104337,5,0,0,138407,333,13,1,1,26,1,138037,6662,581,131169
Northumberland,316028,213670,35661,982,65715,705,163,133,315027,6955,1068,488,307517,51921,37740,226367,11,3,4,316010,452,22,0,3,47,1,315503,4019,702,311307
Redcar and Cleveland,135177,100401,14126,274,20376,245,48,32,134852,1281,195,85,133616,17080,14596,103501,0,0,1,135176,244,7,1,0,18,0,134907,1242,244,133691
Stockton-on-Tees,191610,136756,20011,479,34364,394,60,63,191093,1712,355,127,189416,26980,20930,143700,7,1,0,191602,329,14,2,1,40,3,191221,4294,553,186763
Gateshead,200214,142261,19905,541,37507,288,50,60,199816,1717,281,127,198089,28154,20766,151294,1,0,0,200213,372,11,4,1,30,1,199795,6352,634,193228
Newcastle upon Tyne,280177,167436,26775,1618,84348,575,136,180,279286,3522,677,349,275629,50000,29689,200488,9,0,2,280166,1184,27,22,14,70,2,278858,26239,2280,251658
North Tyneside,200801,137830,21769,663,40539,365,53,80,200303,2612,427,216,197546,32146,22870,145785,2,0,3,200796,333,17,1,1,35,0,200414,4164,690,195947
South Tyneside,148127,107870,14851,245,25161,188,27,24,147888,1020,132,90,146885,21025,15285,111817,1,0,0,148126,154,4,1,1,8,0,147959,2423,286,145418
Sunderland,275506,199693,28704,519,46590,338,58,82,275028,1704,248,158,273396,36726,29587,209193,3,0,3,275500,445,13,1,0,26,0,275021,6821,603,268082
